CustomerID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2,Segment
12346.0,326,12,77556.46,0,1.881541491155377,2.1732375320305826,Loyal Customers
12347.0,2,8,4921.53,0,2.332612365958584,-1.0925660641079287,Loyal Customers
12348.0,75,5,2019.4,0,0.5805253351681176,0.2667890181655555,Loyal Customers
12349.0,19,4,4428.69,0,1.2227239421295126,-0.29480072868453444,Loyal Customers
12350.0,310,1,334.4,1,-1.5102115850071616,0.09015582599790735,At-Risk Customers
12351.0,375,1,300.93,1,-1.6183915320047582,0.16249267537597753,At-Risk Customers
12352.0,36,10,2849.84,0,1.4285949355272074,0.1977113843166015,Loyal Customers
12353.0,204,2,406.76,1,-0.9794106200957656,0.06888666437668739,At-Risk Customers
12354.0,232,1,1079.4,1,-0.897651188908445,0.2898304386574136,At-Risk Customers
12355.0,214,2,947.61,1,-0.6202979515176217,0.35409602018170266,At-Risk Customers
12356.0,23,6,6371.73,0,1.5813639139204283,0.0404188152556801,Loyal Customers
12357.0,33,3,18287.66,0,1.5096438888820305,0.35078502370448067,Loyal Customers
12358.0,2,5,3887.07,0,1.9189654209474212,-1.3133911308068054,Loyal Customers
12359.0,58,10,8873.39,0,1.7810449295270347,0.8031199077151083,Loyal Customers
12360.0,52,8,4252.89,0,1.3366856609049889,0.4450079643636988,Loyal Customers
12361.0,287,4,511.25,1,-0.5991525009738333,0.5132256561397139,At-Risk Customers
12362.0,3,11,5356.23,0,2.4961042498097936,-0.8027523773995736,Loyal Customers
12363.0,110,2,552.0,1,-0.6453236247366341,-0.1757028316733903,At-Risk Customers
12364.0,8,4,1313.1,0,0.9425693958771646,-1.1075072152591512,Loyal Customers
12365.0,291,2,641.38,1,-0.8924890080791397,0.4032087479534988,At-Risk Customers
12366.0,634,1,500.24,1,-1.5634477726284897,0.6067173239483525,At-Risk Customers
12367.0,4,1,168.9,1,-0.472625396940659,-2.394350801102383,At-Risk Customers
12368.0,628,1,917.7,1,-1.2915915373706195,0.7873169744468317,At-Risk Customers
12369.0,413,3,1791.15,1,-0.33130754667768,1.0156030284154485,At-Risk Customers
12370.0,51,7,4316.56,0,1.2596939311890054,0.3959405002924403,Loyal Customers
12371.0,45,5,4067.38,0,1.0538435690949393,0.20481169062982502,Loyal Customers
12372.0,72,3,1298.04,1,0.08865822943324836,-0.03933751920018641,At-Risk Customers
12373.0,311,3,1127.65,1,-0.4447141347007532,0.717917009874291,At-Risk Customers
12374.0,25,4,2989.2200000000003,0,0.96331561629104,-0.27076665559852164,Loyal Customers
12375.0,11,2,457.5,1,-0.00710636959571805,-1.4589911206328199,At-Risk Customers
12376.0,390,2,503.15,1,-1.094648922934768,0.4897619471861005,At-Risk Customers
12377.0,315,4,3426.32,1,0.21395938983666882,1.1473300421255206,At-Risk Customers
12378.0,130,2,5416.32,0,0.31329675283333985,0.6155063465301052,Loyal Customers
12379.0,82,4,1620.22,0,0.31536611681820453,0.18106459538032396,Loyal Customers
12380.0,22,11,9676.3,0,2.1912414977980537,0.34246220068681754,Loyal Customers
12381.0,5,5,1845.31,0,1.363833294092199,-1.1598716783642085,Loyal Customers
12383.0,185,5,1850.56,1,0.2515973401948697,0.7331925653030509,At-Risk Customers
12384.0,29,2,585.27,1,-0.19516975454608868,-0.8787004653193877,At-Risk Customers
12385.0,379,1,1938.4,1,-0.7967176712877572,0.738794906868642,At-Risk Customers
12386.0,338,2,401.9,1,-1.1478280318267644,0.342366319958595,At-Risk Customers
12387.0,415,1,143.94,1,-1.976734141902653,-0.006892055081908908,At-Risk Customers
12388.0,16,8,3901.11,0,1.6671000932920474,-0.20801885983467455,Loyal Customers
12389.0,403,3,1433.33,1,-0.42218123666445717,0.9338189753666972,At-Risk Customers
12390.0,80,1,549.84,1,-0.8538852084251015,-0.49898693386500975,At-Risk Customers
12391.0,22,6,2724.84,0,1.2184196934568294,-0.24351055289093662,Loyal Customers
12392.0,591,1,234.75000000000003,1,-1.8753394217531991,0.3367215326903262,At-Risk Customers
12393.0,72,6,2399.4500000000003,0,0.7875206239809196,0.35390786232686194,Loyal Customers
12394.0,64,2,1272.48,1,-0.101754082403046,-0.2147303540950971,At-Risk Customers
12395.0,19,15,4721.17,0,2.1374907355016033,0.15071785549643743,Loyal Customers
12396.0,674,1,931.43,1,-1.3078972323190992,0.8307586602347269,At-Risk Customers
12397.0,36,2,2409.9,0,0.3640937656330734,-0.3294529305177841,Loyal Customers
12398.0,46,1,1635.66,1,-0.1943037191888424,-0.4649045416982443,At-Risk Customers
12399.0,119,7,1962.3,0,0.6389338946502469,0.6150182949042249,Loyal Customers
12400.0,414,1,205.25,1,-1.81945844054959,0.09998141198859697,At-Risk Customers
12401.0,303,1,84.3,1,-2.110211242327097,-0.34232703373587714,At-Risk Customers
12402.0,323,6,1256.9,1,0.01761252909274132,0.9768800506564828,At-Risk Customers
12403.0,50,2,1019.36,1,-0.12140680725786399,-0.41635389717763505,At-Risk Customers
12404.0,682,1,63.24,1,-2.4984745282654037,0.016736448509757113,At-Risk Customers
12405.0,149,1,1710.39,1,-0.5507935157204136,0.1882409264593536,At-Risk Customers
12406.0,22,5,6390.36,0,1.478985564209533,-0.038581924011544984,Loyal Customers
12407.0,50,5,1708.12,0,0.6356490467153557,-0.004335457296790636,Loyal Customers
12408.0,33,8,4340.77,0,1.4897049172770813,0.20666497127034086,Loyal Customers
12409.0,79,7,23419.29,0,1.8701311697382665,1.1519385476311133,Loyal Customers
12410.0,309,3,1013.71,1,-0.48983858509538525,0.6817330373999604,At-Risk Customers
12411.0,410,1,346.9,1,-1.5843820466065055,0.25500326570311543,At-Risk Customers
12412.0,75,6,2596.93,0,0.80953352540841,0.4003480727496331,Loyal Customers
12413.0,67,4,999.45,1,0.16585322860403212,-0.07683197550068663,At-Risk Customers
12414.0,217,6,952.41,1,0.023148108868395637,0.6735322043375146,At-Risk Customers
12415.0,24,28,144458.37,0,3.3266786284207375,1.0503132485672961,Loyal Customers
